Source,Target,Strength
2651310065,26487169,3
2651310065,471672239,3
26528766,16163639,4
26528766,24127811,3
2654356639,26487169,3
2654356639,2654356639,4
2660095619,26487169,4
26603208,111216929,5
2668286088,358545917,3
26686224,574915137,5
2669181342,239760871,3
26694773,26487169,6
267021306,26487169,3
267021306,438829074,5
267448447,331057915,3
267781885,14669951,3
267781885,24127811,3
2678460650,462104542,6
2685199019,272114651,3
2690281202,2941365709,8
269032307,16163639,5
2690379065,393190233,3
2690717251,471672239,3
2693870551,331057915,4
26947929,216498790,3
2703114008,26487169,3
270671495,471672239,3
270679712,270679712,4
2711398008,111216929,3
271172870,347627434,3
271172870,471672239,4
271315071,26487169,6
271602903,18643437,3
2716100047,1618641848,3
2718111834,2667857126,3
2718132016,2718132016,3
2718164052,2840378924,5
2718236783,26487169,7
2718236783,471672239,3
2718344363,471672239,4
271878957,471672239,4
2719032460,26487169,4
2719556213,438829074,6
2720985711,26487169,3
272114651,272114651,3
2722120380,733838438,4
2724918372,26487169,3
272559329,26487169,5
2725704808,2242085304,3
2728250542,2887968749,3
2728536772,26487169,3
2729691812,3383049855,3
2729894420,471672239,3
2730588752,705333567543504896,4
2734350850,701765169337262081,3
27344142,26487169,4
27344142,4761064634,3
2734747239,26487169,3
2735203011,3340501694,3
2736331149,111216929,3
27368525,48887254,3
273970953,471672239,4
2739781664,26487169,5
27435320,438829074,5
2744900304,109065990,3
2744936164,26487169,3
274621914,25320639,3
274643115,24127811,3
274673203,111216929,3
2746979823,2746979823,3
2746979823,358545917,3
2747597048,4761064634,3
274891222,1618641848,3
274891222,393190233,3
274891222,705229345745276928,6
2749225968,26487169,4
2749742154,131249283,3
275276082,275276082,3
27534951,358545917,5
27550771,49698134,3
2755987049,2733816872,3
2757669919,2757669919,3
2762251732,26487169,4
276600247,25446957,3
27686745,26487169,3
2771575558,471672239,3
2771575558,4761064634,4
2771588954,3890933907,3
27734496,24127811,14
2777168127,26487169,3
2777995764,26487169,3
2779517050,1499268588,3
2779517050,239760871,3
2779517050,2779517050,15
2780931235,26487169,3
2784100399,26487169,5
278658252,1403108310,3
278658252,278658252,35
278886027,471672239,3
2789007712,148291255,6
27892367,24127811,5
2790731089,14505245,4
2790731089,779739206339928064,3
279134171,16163639,4
279134171,24127811,4
279223008,26487169,5
2792749508,358545917,5
279288717,111216929,3
2793193186,26487169,3
2794812876,16163639,4
2794812876,24127811,9
2794812876,471672239,3
2796119365,358545917,3
2798432052,471672239,4
280027618,407490941,3
2800705332,24127811,3
280336914,284549082,10
2805864295,734886138326847491,3
280800861,111216929,4
2809196981,24127811,3
2812638431,471672239,3
282355995,3284112337,5
2823620637,2746979823,3
2823620637,471672239,4
282817762,24127811,3
2831536977,1384804622,4
2833599255,358545917,4
2834620568,26487169,3
2834620568,471672239,4
2836507904,331057915,3
283677281,26487169,6
2837876374,24127811,4
284231137,471672239,3
2848139576,100397412,3
2848666053,2848666053,3
285185831,26487169,3
285502242,438829074,3
2858341588,24127811,3
2858375682,24127811,3
2859241221,16163639,3
28606630,16163639,5
28606630,358545917,3
2861314394,358545917,3
28625375,26487169,3
2863821045,26487169,4
2867854738,4761064634,3
2868389650,236487888,3
286922738,26487169,3
2869244972,26487169,3
2871592441,1426219171,3
2871607491,26487169,3
2874387150,3890933907,3
287505023,26487169,4
287505023,471672239,3
2875166787,24127811,5
2876318498,734886138326847491,3
2876378805,24127811,18
287647587,26487169,3
2878397393,26487169,4
2878480733,109065990,3
2884079135,26487169,5
2884217751,176417197,3
2884739378,358545917,4
2886095098,1494648920,3
2888140440,24127811,5
2889010472,471672239,3
2890165361,26487169,3
2890165361,3284112337,5
2890828923,24127811,5
2891411482,111216929,3
2891411482,14855994,3
2891411482,24127811,3
2891477268,111216929,4
2891670851,24127811,3
2892983181,26487169,4
28943037,26487169,3
289689943,26487169,4
2897145050,24127811,7
2898273472,26487169,4
289836894,236487888,6
289836894,438829074,3
2898756616,26487169,3
2899880188,50836292,4
2903166449,393190233,3
29031834,331057915,3
2908648893,26487169,3
2911833425,26487169,4
2911833425,3383049855,5
29118781,3284112337,4
29125086,471672239,3
291270896,331057915,3
2912811675,884024311,3
291482799,471672239,3
29157656,130496027,4
2916108169,471672239,3
2918947319,2347049341,3
292604873,26487169,3
2926464862,358545917,6
2926464862,39344374,3
2926464862,471672239,3
292878034,734886138326847491,3
293607250,374775473,3
2936475981,3111909523,4
2937854619,16163639,9
2937854619,19211550,4
